date         wpk2  wpk3  wpk4
2018-02-06    NA    t,p,rh    t,p,rh
2018-02-07    NA    t,p,rh    t,p,rh
2018-02-08    NA    t,p,rh    t,p,rh
2018-02-09    NA    t,p,rh    t,p,rh
2018-02-10    NA    t,p,rh    t,p,rh
2018-02-11    NA    t,p,rh    t,p,rh
2018-02-12    NA    t,p,rh    t,p,rh
2018-02-13    NA    t,p,rh    t,p,rh
2018-02-14    NA    t,p,rh    t,p,rh
2018-02-15    NA    t,p,rh    t,p,rh
2018-02-16    NA    t,p,rh    t,p,rh
2018-02-17    NA    t,p,rh    t,p,rh
2018-02-18    NA    t,p,rh    t,p,rh
2018-02-19    NA    NA    NA
2018-02-20    NA    NA    NA
2018-02-21    NA    NA    p,rh
2018-02-22    NA    NA    p,rh
2018-02-23    NA    NA    NA
2018-02-24    NA    NA    NA
2018-02-25    NA    NA    NA
2018-02-26    NA    NA    NA
2018-02-27    t,rh    NA    p
2018-02-28    t,rh,ws,wd    NA    p,sr
2018-03-01    t,rh,ws,wd    NA    p,sr
2018-03-02    t,rh,ws,wd    NA    p,sr
2018-03-03    t,rh,ws,wd    NA    p,sr
2018-03-04    t,rh,ws,wd    NA    p,sr
2018-03-05    t,rh,ws,wd    NA    p,sr
2018-03-06    t,rh,ws,wd    NA    p,sr
2018-03-07    t,rh,ws,wd    NA    p,sr
2018-03-08    t,rh,ws,wd    NA    p,sr
2018-03-09    t,rh,ws,wd    NA    p,sr
2018-03-10    t,rh,ws,wd    NA    p,sr
2018-03-11    t,rh,ws,wd    NA    p,sr
2018-03-12    t,rh,ws,wd    NA    p,sr
2018-03-13    NA    NA    NA
2018-03-14    NA    NA    NA
2018-03-15    NA    NA    NA
2018-03-16    NA    NA    NA
2018-03-17    NA    NA    NA
2018-03-18    NA    NA    NA
2018-03-19    NA    NA    NA
2018-03-20    NA    NA    NA
2018-03-21    NA    NA    NA
2018-03-22    NA    NA    NA
2018-03-23    NA    NA    NA
